model_name,rmse,mae,r2
catboost,68.88488384638714,52.01053953083612,0.8698567546010917
xgboost,70.05665940692286,53.67821878227636,0.8653914578531969
random_forest,70.82116751170034,54.11221078289729,0.8624375393483357
lightgbm,71.90348166681753,54.13375695144471,0.8582008551368793
linear_regression_baseline,72.5050542731892,57.26345090929235,0.8558182356557322
